Nama Obat,Harga Jual 1,Jenis Obat,Deskripsi
ADROME 10 MG,750.00,RESEP DOKTER,"Mengandung Carbazochrome Na Sulfonate digunakan untuk menghentikan pendarahan, terutama pada perdarahan karena menurunnya resistensi kapiler"
ADROME 10 MG BOX,"55,000.00",RESEP DOKTER,"Mengandung Carbazochrome Na Sulfonate digunakan untuk menghentikan pendarahan, terutama pada perdarahan karena menurunnya resistensi kapiler (1 dus isi 10 strip @ 10 tablet)"
ALLLERIN 60ML,"17,500.00",BEBAS,"Mengatasi batuk berdahak karena adanya iritasi, alergi & batuk spasmodik (60 ML)"
ALLLERIN 120ML,"27,500.00",BEBAS,"Mengatasi batuk berdahak karena adanya iritasi, alergi & batuk spasmodik (120 ML)"
ALCO DROPS 15ML,"95,000.00",BEBAS,"ALCO DROP mengandung Pseudoephedrin, digunakan untuk mengatasi gejala pilek seperti bersin-bersin dan hidung tersumbat pada bayi."
ALCO PLUS DMP 100ML,"60,000.00",BEBAS,ALCO PLUS SIRUP mengandung Pseudoephedrine dan Brompheniramine Maleat yang digunakan untuk mengatasi gejala pilek seperti bersin-bersin dan hidung tersumbat. Obat ini menyebabkan kantuk oleh karena itu jangan mengendarai kendaraan bermotor atau menjalankan mesin ketika menggunakan obat ini.
ALCO PLUS 100ML,"65,000.00",BEBAS,ALCO PLUS SIRUP mengandung Pseudoephedrine dan Brompheniramine Maleat yang digunakan untuk mengatasi gejala pilek seperti bersin-bersin dan hidung tersumbat. Obat ini menyebabkan kantuk oleh karena itu jangan mengendarai kendaraan bermotor atau menjalankan mesin ketika menggunakan obat ini.
ALCOHOL SWABS SENSI,"25,000.00",BEBAS,"Mengandung 70% alkohol, membunuh bakteri atau kuman secara efektif"
ALCOHOL SWAB ALTAMED,"17,500.00",BEBAS,Kapas pembersih yang mengandung alkohol digunakan untuk membunuh bakteri atau kuman
ALINAMIN F,"12,500.00",BEBAS,"Vitamin B1 dan B2. Suplemen vitamin B1 dan B2 dibutuhkan pada keadaan meningkatnya kebutuhan, seperti pada saat kehamilan dan menyusui, pada saat memerlukan banyak energi, terjadi gangguan pencernaan"
ALINAMIN F BOX,"105,000.00",BEBAS,"Vitamin B1 dan B2. Suplemen vitamin B1 dan B2 dibutuhkan pada keadaan meningkatnya kebutuhan, seperti pada saat kehamilan dan menyusui, pada saat memerlukan banyak energi, terjadi gangguan pencernaan (1 dus 10 strip @ 10 tablet)"
ALKOHOL 70% 100ML ONEMED,"5,000.00",BEBAS,Cairan antiseptik yang dapat membunuh dan menghambat pertumbuhan bakteri maupun mikroorganisme lain dan digunakan untuk membersihkan luka maupun sterilisasi alat-alat medis
ALKOHOL 70% 1LT MOLEX,"30,000.00",BEBAS,Digunakan untuk membersihkan luka dan mencegah terjadinya infeksi
ALKOHOL 70% 300ML CITO,"15,000.00",BEBAS,Antiseptik untuk membersihkan luka
ALKOHOL 70% 300ML PIM,"13,000.00",BEBAS,"Sebagai antiseptik (membunuh atau menghambat pertumbuhan mikroorganisme), untuk membersihkan luka dan pembersih alat-alat medis"
ALKOHOL 70 % 100ML PIM,"6,000.00",BEBAS,"Sebagai antiseptik (membunuh atau menghambat pertumbuhan mikroorganisme), untuk membersihkan luka dan pembersih alat-alat medis"
ALKOHOL 70 % 100ML AFI,"5,000.00",BEBAS,Sebagai antiseptik maupun disinfektan untuk membunuh jamur dan bakteri pada kulit
ALKOHOL SWABS OM,"17,500.00",BEBAS,"Antiseptik pre injeksi, pemasangan IV, pengambilan darah, melepas jahitan, dan tindakan yang memerlukan antisepsi"
ALPENTIN 100mg,"17,500.00",RESEP DOKTER,Obat untuk meredakan kejang pada penderita epilepsi. Mengandung gabapentin yang bekerja dengan mengendalikan saraf dan senyawa kimia di dalam tubuh yang menyebabkan kejang
ALPENTIN 100mg 10X5,"80,000.00",RESEP DOKTER,Obat untuk meredakan kejang pada penderita epilepsi. Mengandung gabapentin yang bekerja dengan mengendalikan saraf dan senyawa kimia di dalam tubuh yang menyebabkan kejang (5 strip @ 10 tablet)
ALLERON 4MG,"1,500.00",BEBAS,"Obat untuk meredakan gejala alergi rhinitis, alergi konjungtivitas, urticaria (gatal-gatal, biduran), gatal-gatal karena gigitan serangga, alergi eksema & alergi dermatitis"
ALLERON BOX,"25,000.00",BEBAS,"Obat untuk meredakan gejala alergi rhinitis, alergi konjungtivitas, urticaria (gatal-gatal, biduran), gatal-gatal karena gigitan serangga, alergi eksema & alergi dermatitis (20 strip @ 10 kaplet)"
ALOFAR 100mg,"5,000.00",BEBAS,Obat yang mengandung Allopurinol sebagai obat untuk menurunkan kadar asam urat dalam darah
ALOFAR 100mg BOX,"35,000.00",BEBAS,Obat yang mengandung Allopurinol sebagai obat untuk menurunkan kadar asam urat dalam darah (10 strip @ 10 kaplet)
ALLETROL SM,"13,000.00",RESEP DOKTER,"Obat yang digunakan untuk pengobatan penyakit mata terutama karena radang yang diserta infeksi bakteri uveitis anterior kronis dan luka pada kornea yang disebabkan oleh bahan kimia, radiasi, panas, dan penetrasi benda-benda asing"
ALOFAR 300MG,"7,500.00",BEBAS,Obat yang digunakan untuk menurunkan kadar asam urat dalam darah
ALOFAR 300 BOX,"65,000.00",BEBAS,Obat yang digunakan untuk menurunkan kadar asam urat dalam darah (10 strip @ 10 tablet)
ALLETROL TM,"16,000.00",RESEP DOKTER,"Obat yang digunakan untuk pengobatan penyakit mata terutama karena radang diserta infeksi bakteri uveitis anterior kronis dan luka pada kornea yang disebabkan oleh bahan kimia, radiasi, panas dan penetrasi benda-benda asing"
ALLETROL TM ISI24,"325,000.00",RESEP DOKTER,"Obat yang digunakan untuk pengobatan penyakit mata terutama karena radang diserta infeksi bakteri uveitis anterior kronis dan luka pada kornea yang disebabkan oleh bahan kimia, radiasi, panas dan penetrasi benda-benda asing"
ALPHA ONE TERMOMETER DIGITAL,"25,000.00",BEBAS,Digunakan untuk mengukur suhu tubuh
AMBEVEN,"18,500.00",BEBAS,Jamu yang mengandung ekstrak daun ungu (Graptophylli folium) mengandung senyawa flavonoid yang dapat mengurangi bengkak dengan mekanisme melalui efek penghambatan pembentukan prostaglanding pada jalur metabolisme asam arakhidonat
AMBEVEN BOX,"165,000.00",BEBAS,Jamu yang mengandung ekstrak daun ungu (Graptophylli folium) mengandung senyawa flavonoid yang dapat mengurangi bengkak dengan mekanisme melalui efek penghambatan pembentukan prostaglanding pada jalur metabolisme asam arakhidonat
AMLODIPINE 5MG INF,"3,000.00",RESEP DOKTER,Obat antihipertensi Calcium Channel Blockers (CCB). Obat ini digunakan sebagai pengobatan lini pertama hipertensi dan dapat digunakan sebagai agen tunggal untuk mengontrol tekanan darah pada sebagian besar pasien
AMLODIPINE 5MG INF BOX,"17,500.00",RESEP DOKTER,Obat antihipertensi Calcium Channel Blockers (CCB). Obat ini digunakan sebagai pengobatan lini pertama hipertensi dan dapat digunakan sebagai agen tunggal untuk mengontrol tekanan darah pada sebagian besar pasien
AMLODIPINE 10MG INF,"4,000.00",RESEP DOKTER,Obat antihipertensi Calcium Channel Blockers (CCB). Obat ini digunakan sebagai pengobatan lini pertama hipertensi dan dapat digunakan sebagai agen tunggal untuk mengontrol tekanan darah pada sebagian besar pasien
AMLODIPINE 10MG INF BOX,"20,000.00",RESEP DOKTER,Obat antihipertensi Calcium Channel Blockers (CCB). Obat ini digunakan sebagai pengobatan lini pertama hipertensi dan dapat digunakan sebagai agen tunggal untuk mengontrol tekanan darah pada sebagian besar pasien
AMLODIPINE 5MG DEXA,"3,500.00",RESEP DOKTER,Obat antihipertensi Calcium Channel Blockers (CCB). Obat ini digunakan sebagai pengobatan lini pertama hipertensi dan dapat digunakan sebagai agen tunggal untuk mengontrol tekanan darah pada sebagian besar pasien
AMLODIPINE 5MG DEXA BOX,"25,000.00",RESEP DOKTER,Obat antihipertensi Calcium Channel Blockers (CCB). Obat ini digunakan sebagai pengobatan lini pertama hipertensi dan dapat digunakan sebagai agen tunggal untuk mengontrol tekanan darah pada sebagian besar pasien
AMLODIPINE 5MG KF,"3,500.00",RESEP DOKTER,Obat antihipertensi Calcium Channel Blockers (CCB). Obat ini digunakan sebagai pengobatan lini pertama hipertensi dan dapat digunakan sebagai agen tunggal untuk mengontrol tekanan darah pada sebagian besar pasien
AMLODIPINE 5MG KF BOX,"12,500.00",RESEP DOKTER,Obat antihipertensi Calcium Channel Blockers (CCB). Obat ini digunakan sebagai pengobatan lini pertama hipertensi dan dapat digunakan sebagai agen tunggal untuk mengontrol tekanan darah pada sebagian besar pasien
AMLODIPINE 10MG KF,"5,000.00",RESEP DOKTER,Obat antihipertensi Calcium Channel Blockers (CCB). Obat ini digunakan sebagai pengobatan lini pertama hipertensi dan dapat digunakan sebagai agen tunggal untuk mengontrol tekanan darah pada sebagian besar pasien
AMLODIPINE 10MG KF BOX,"17,500.00",RESEP DOKTER,Obat antihipertensi Calcium Channel Blockers (CCB). Obat ini digunakan sebagai pengobatan lini pertama hipertensi dan dapat digunakan sebagai agen tunggal untuk mengontrol tekanan darah pada sebagian besar pasien
AMLODIPINE 10MG TRIFA,"3,500.00",RESEP DOKTER,Obat antihipertensi Calcium Channel Blockers (CCB). Obat ini digunakan sebagai pengobatan lini pertama hipertensi dan dapat digunakan sebagai agen tunggal untuk mengontrol tekanan darah pada sebagian besar pasien
AMLODIPINE 10MG TRIFA BOX,"13,000.00",RESEP DOKTER,Obat antihipertensi Calcium Channel Blockers (CCB). Obat ini digunakan sebagai pengobatan lini pertama hipertensi dan dapat digunakan sebagai agen tunggal untuk mengontrol tekanan darah pada sebagian besar pasien
AMLODIPINE 5MG TRIFA,"2,500.00",RESEP DOKTER,Obat antihipertensi Calcium Channel Blockers (CCB). Obat ini digunakan sebagai pengobatan lini pertama hipertensi dan dapat digunakan sebagai agen tunggal untuk mengontrol tekanan darah pada sebagian besar pasien
AMLODIPINE 5MG TRIFA BOX,"12,000.00",RESEP DOKTER,Obat antihipertensi Calcium Channel Blockers (CCB). Obat ini digunakan sebagai pengobatan lini pertama hipertensi dan dapat digunakan sebagai agen tunggal untuk mengontrol tekanan darah pada sebagian besar pasien
AMLODIPINE 10MG SCAN,"5,000.00",RESEP DOKTER,Obat antihipertensi Calcium Channel Blockers (CCB). Obat ini digunakan sebagai pengobatan lini pertama hipertensi dan dapat digunakan sebagai agen tunggal untuk mengontrol tekanan darah pada sebagian besar pasien
AMLODIPINE 10MG SCAN BOX,"50,000.00",RESEP DOKTER,Obat antihipertensi Calcium Channel Blockers (CCB). Obat ini digunakan sebagai pengobatan lini pertama hipertensi dan dapat digunakan sebagai agen tunggal untuk mengontrol tekanan darah pada sebagian besar pasien
AMLODIOINE 5MG SCAN,"2,500.00",RESEP DOKTER,Obat antihipertensi Calcium Channel Blockers (CCB). Obat ini digunakan sebagai pengobatan lini pertama hipertensi dan dapat digunakan sebagai agen tunggal untuk mengontrol tekanan darah pada sebagian besar pasien
AMLODIOINE 5MG SCAN BOX,"35,000.00",RESEP DOKTER,Obat antihipertensi Calcium Channel Blockers (CCB). Obat ini digunakan sebagai pengobatan lini pertama hipertensi dan dapat digunakan sebagai agen tunggal untuk mengontrol tekanan darah pada sebagian besar pasien
AMLODIPINE 5MG HJ,"3,500.00",RESEP DOKTER,Obat antihipertensi Calcium Channel Blockers (CCB). Obat ini digunakan sebagai pengobatan lini pertama hipertensi dan dapat digunakan sebagai agen tunggal untuk mengontrol tekanan darah pada sebagian besar pasien
AMLODIPINE 5MG HJ BOX,"30,000.00",RESEP DOKTER,Obat antihipertensi Calcium Channel Blockers (CCB). Obat ini digunakan sebagai pengobatan lini pertama hipertensi dan dapat digunakan sebagai agen tunggal untuk mengontrol tekanan darah pada sebagian besar pasien
AMLODIPINE 10MG HJ,"6,000.00",RESEP DOKTER,Obat antihipertensi Calcium Channel Blockers (CCB). Obat ini digunakan sebagai pengobatan lini pertama hipertensi dan dapat digunakan sebagai agen tunggal untuk mengontrol tekanan darah pada sebagian besar pasien
AMLODIPINE 10MG HJ BOX,"50,000.00",RESEP DOKTER,Obat antihipertensi Calcium Channel Blockers (CCB). Obat ini digunakan sebagai pengobatan lini pertama hipertensi dan dapat digunakan sebagai agen tunggal untuk mengontrol tekanan darah pada sebagian besar pasien
AMLODIPINE 5MG MFS,"3,000.00",RESEP DOKTER,Obat antihipertensi Calcium Channel Blockers (CCB). Obat ini digunakan sebagai pengobatan lini pertama hipertensi dan dapat digunakan sebagai agen tunggal untuk mengontrol tekanan darah pada sebagian besar pasien
AMLODIPINE 5MG MFS BOX,"17,500.00",RESEP DOKTER,Obat antihipertensi Calcium Channel Blockers (CCB). Obat ini digunakan sebagai pengobatan lini pertama hipertensi dan dapat digunakan sebagai agen tunggal untuk mengontrol tekanan darah pada sebagian besar pasien
AMLODIPINE 10MG MFS,"5,000.00",RESEP DOKTER,Obat antihipertensi Calcium Channel Blockers (CCB). Obat ini digunakan sebagai pengobatan lini pertama hipertensi dan dapat digunakan sebagai agen tunggal untuk mengontrol tekanan darah pada sebagian besar pasien
AMLODIPINE 10MG MFS BOX,"25,000.00",RESEP DOKTER,Obat antihipertensi Calcium Channel Blockers (CCB). Obat ini digunakan sebagai pengobatan lini pertama hipertensi dan dapat digunakan sebagai agen tunggal untuk mengontrol tekanan darah pada sebagian besar pasien
AMOXSAN DROPS ,"32,500.00",RESEP DOKTER,Obat yang digunakan untuk infeksi yang disebabkan oleh strain-strain bakteri yang peka seperti Staphylococcus
AMOXSAN 500MG,"4,500.00",RESEP DOKTER,"Obat antibiotika yang digunakan untuk mengatasi infeksi pada saluran pernafasan atas, infeksi saluran kemih, saluran cerna, kulit dan jaringan lunak serta demam tifoid pada anak"
AMOXSAN 500MG BOX,"385,000.00",RESEP DOKTER,"Obat antibiotika yang digunakan untuk mengatasi infeksi pada saluran pernafasan atas, infeksi saluran kemih, saluran cerna, kulit dan jaringan lunak serta demam tifoid pada anak"
AMOXSAN SYR,"27,500.00",RESEP DOKTER,"Dapat mengatasi berbagai penyakit infeksi, beberapa diantaranya yaitu infeksi saluran pernafasan, infeksi saluran kencing, infeksi telinga, hingga infeksi kelamin"
AMOXCILLIN 500 ETA,500.00,RESEP DOKTER,"Obat untuk mengobati infeksi telinga tengah, radang tenggorokan, infeksi saluran pernafasan atas, infeksi saluran kemih, saluran cerna, kulit, dan jaringan lunak"
AMOXCILLIN 500 ETA BOX,"32,500.00",RESEP DOKTER,"Obat untuk mengobati infeksi telinga tengah, radang tenggorokan, infeksi saluran pernafasan atas, infeksi saluran kemih, saluran cerna, kulit, dan jaringan lunak (10 strip @ 10 tablet)"
ANABION SYR ,"8,000.00",BEBAS,"Anabion digunakan untuk sebagai multivitamin untuk membantu menjaga daya tahan tubuh, membantu memenuhi kebutuhan nutrisi, serta membantu proses metabolisme tumbuh kembang anak"
ANABION SYR72,"460,000.00",BEBAS,"Anabion digunakan untuk sebagai multivitamin untuk membantu menjaga daya tahan tubuh, membantu memenuhi kebutuhan nutrisi, serta membantu proses metabolisme tumbuh kembang anak"
ANACETIN SYR,"10,000.00",BEBAS,"ANACETINE SIRUP mengandung zat aktif Paracetamol, Guaiphenesin, Phenylpropanolamine dan Chlorpheniramine Maleat. Obat ini digunakan untuk mengatasi gejala flu seperti demam, sakit kepala, hidung tersumbat, dan bersin-bersin yang disertai batuk. Obat ini menyebabkan kantuk. Jangan mengendarai kendaraan bermotor atau menjalankan mesin apabila menggunakan obat ini."
ANACETIN SYR Q ISI 72,"597,000.00",BEBAS,"ANACETINE SIRUP mengandung zat aktif Paracetamol, Guaiphenesin, Phenylpropanolamine dan Chlorpheniramine Maleat. Obat ini digunakan untuk mengatasi gejala flu seperti demam, sakit kepala, hidung tersumbat, dan bersin-bersin yang disertai batuk. Obat ini menyebabkan kantuk. Jangan mengendarai kendaraan bermotor atau menjalankan mesin apabila menggunakan obat ini."
AMOXICILLIN SYR ETA,"7,500.00",RESEP DOKTER,"ANACETINE SIRUP mengandung zat aktif Paracetamol, Guaiphenesin, Phenylpropanolamine dan Chlorpheniramine Maleat. Obat ini digunakan untuk mengatasi gejala flu seperti demam, sakit kepala, hidung tersumbat, dan bersin-bersin yang disertai batuk. Obat ini menyebabkan kantuk. Jangan mengendarai kendaraan bermotor atau menjalankan mesin apabila menggunakan obat ini."
AMOXICILLIN SYR 50 ETA,"185,000.00",RESEP DOKTER,"ANACETINE SIRUP mengandung zat aktif Paracetamol, Guaiphenesin, Phenylpropanolamine dan Chlorpheniramine Maleat. Obat ini digunakan untuk mengatasi gejala flu seperti demam, sakit kepala, hidung tersumbat, dan bersin-bersin yang disertai batuk. Obat ini menyebabkan kantuk. Jangan mengendarai kendaraan bermotor atau menjalankan mesin apabila menggunakan obat ini."
ANGIOTEN 50MG,"18,500.00",RESEP DOKTER,"Obat untuk menurunkan tekanan darah pada kondisi hipertensi, mengobati gagal jantung dan mencegah terjadinya kerusakan ginjal akiibat diabetes (nefropati diabetik)"
ANGIOTEN 50MG BOX,"560,000.00",RESEP DOKTER,"Obat untuk menurunkan tekanan darah pada kondisi hipertensi, mengobati gagal jantung dan mencegah terjadinya kerusakan ginjal akiibat diabetes (nefropati diabetik) (3 strip @ 10 tablet)"
ADONA FORTE,"4,000.00",BEBAS,"Obat yang digunakan untuk menghentikan proses pendarahan di kulit, membran mukosa, sekitar mata, metroragia (pendarahan pada rahim di luar haid) dan paska operasi karena menurunnya resistensi kapiler"
ADONA FORTE BOX,"350,000.00",BEBAS,"Obat yang digunakan untuk menghentikan proses pendarahan di kulit, membran mukosa, sekitar mata, metroragia (pendarahan pada rahim di luar haid) dan paska operasi karena menurunnya resistensi kapiler (10 strip @ 10 tablet)"
ALPHAMOL,"5,000.00",BEBAS,"Obat yang mengandung Paracetamol atau yang mempunyai nama lain acetaminophen. Alphamol dapat digunakan untuk mengobati berbagai kondisi seperti sakit kepala, nyeri otot, radang sendi, sakit punggung, sakit gigi, pilek, dan demam"
ALPHAMOL BOX,"42,500.00",BEBAS,"Obat yang mengandung Paracetamol atau yang mempunyai nama lain acetaminophen. Alphamol dapat digunakan untuk mengobati berbagai kondisi seperti sakit kepala, nyeri otot, radang sendi, sakit punggung, sakit gigi, pilek, dan demam (15 strip @ 10 tablet)"
AFOLAT,"2,500.00",BEBAS,Obat yang mengandung 400mcg asam folat. Afolat merupakan suplemen ibu hamil yang dapat membantu meningkatkan peluang hamil dengan cara menguatkan sel telur pada istri
AFOLAT BOX,"17,500.00",BEBAS,Obat yang mengandung 400mcg asam folat. Afolat merupakan suplemen ibu hamil yang dapat membantu meningkatkan peluang hamil dengan cara menguatkan sel telur pada istri (10 strip @ 10 tablet)
ALERMAX,"1,500.00",BEBAS,Obat yang mengandung 400mcg asam folat. Afolat merupakan suplemen ibu hamil yang dapat membantu meningkatkan peluang hamil dengan cara menguatkan sel telur pada istri
ALERMAX BOX,"10,000.00",BEBAS,Obat yang mengandung 400mcg asam folat. Afolat merupakan suplemen ibu hamil yang dapat membantu meningkatkan peluang hamil dengan cara menguatkan sel telur pada istri (10 strip @ 10 tablet)
ANFLAT TAB,"7,000.00",BEBAS,"Obat yang mengandung Chlorpheniramine Maleate. Membantu meredakan gejala-gejala alergi, seperti hidung tersumbat, mata berair, bersin, dan ruam kulit"
ANFLAT BOX,"60,000.00",BEBAS,"Obat yang mengandung Chlorpheniramine Maleate. Membantu meredakan gejala-gejala alergi, seperti hidung tersumbat, mata berair, bersin, dan ruam kulit (10 amplop @ 1 blister @ 10 kaplet)"
ARKAVIT,"3,500.00",BEBAS,"Obat yang mengandung kombinasi Magnesium Hydroxide, Aluminium Hydroxide dan Simethicon. Obat ini digunakan untuk mengatasi gangguan pada saluran pencernaan seperti gastritis, perut kebung, maag, dispepsia, hiatus hernia, tukak lambung dan usus duabelas jari"
ARKAVIT BOX,"27,500.00",BEBAS,"Obat yang mengandung kombinasi Magnesium Hydroxide, Aluminium Hydroxide dan Simethicon. Obat ini digunakan untuk mengatasi gangguan pada saluran pencernaan seperti gastritis, perut kebung, maag, dispepsia, hiatus hernia, tukak lambung dan usus duabelas jari (10 strip x 10 tablet kunyah)"
ARKAVIT C,"10,000.00",BEBAS,Membantu memenuhi kebutuhan vitamin B kompleks dan vitamin C pada keadaan setelah sakit
ARKAVIT C BOX,"85,000.00",BEBAS,Membantu memenuhi kebutuhan vitamin B kompleks dan vitamin C pada keadaan setelah sakit (10 strip @ 10 kaplet salut selaput)
ANATON,"6,000.00",BEBAS,"Suplemen yang mengandung kombinasi vitamin B kompleks dan vitamin C. Suplemen ini digunakan untuk proses pemulihan, membantu memelihara kesehatan dan mengatasi defisiensi vitamin B"
ANATON BOX,"45,000.00",BEBAS,"Suplemen yang mengandung kombinasi vitamin B kompleks dan vitamin C. Suplemen ini digunakan untuk proses pemulihan, membantu memelihara kesehatan dan mengatasi defisiensi vitamin B (10 strip @ 10 kaplet salut selaput)"
